time (s),voltage (V),,,,,,,
6.24E-07,0.01246231,,,,,,,
6.25E-07,0.0120603,,,,,,,
6.26E-07,0.01165829,,,,,,,
6.28E-07,0.01045226,,,,,,,
6.29E-07,0.01005025,,,,,,,
6.30E-07,0.00964824,,,,,,,
6.31E-07,0.00924623,,,,,,,
6.33E-07,0.00844221,,,,,,,
6.34E-07,0.0080402,,,,,,,
6.35E-07,0.00763819,,,,,,,
6.36E-07,0.00683417,,,,,,,
6.38E-07,0.00683417,,,,,,,
6.39E-07,0.00562814,,,,,,,
6.40E-07,0.00281407,,,,,,,
6.41E-07,0.00040201,,,,,,,
6.43E-07,-0.00040201,,,,,,,
6.44E-07,-0.00120603,,,,,,,
6.45E-07,-0.00241206,,,,,,,
6.46E-07,-0.00241206,,,,,,,
6.48E-07,-0.00241206,,,,,,,
6.49E-07,-0.00281407,,,,,,,
6.50E-07,-0.00281407,,,,,,,
6.51E-07,-0.00241206,,,,,,,
6.53E-07,-0.00281407,,,,,,,
6.54E-07,-0.00281407,,,,,,,
6.55E-07,-0.00321608,,,,,,,
6.56E-07,-0.00321608,,,,,,,
6.58E-07,-0.00361809,,,,,,,
6.59E-07,-0.00361809,,,,,,,
6.60E-07,-0.00281407,,,,,,,
6.61E-07,-0.00281407,,,,,,,
6.63E-07,-0.00361809,,,,,,,
6.64E-07,-0.00361809,,,,,,,
6.65E-07,-0.00361809,,,,,,,
6.66E-07,-0.0040201,,,,,,,
6.68E-07,-0.00361809,,,,,,,
6.69E-07,-0.00361809,,,,,,,
6.70E-07,-0.0040201,,,,,,,
6.71E-07,-0.00361809,,,,,,,
6.73E-07,-0.00281407,,,,,,,
6.74E-07,-0.00321608,,,,,,,
6.75E-07,-0.00361809,,,,,,,
6.76E-07,-0.0040201,,,,,,,
6.78E-07,-0.00361809,,,,,,,
6.79E-07,-0.00361809,,,,,,,
6.80E-07,-0.00361809,,,,,,,
6.81E-07,-0.00321608,,,,,,,
6.83E-07,-0.00361809,,,,,,,
6.84E-07,-0.0040201,,,,,,,
6.85E-07,-0.00281407,,,,,,,
6.86E-07,-0.00361809,,,,,,,
6.88E-07,-0.00482412,,,,,,,
6.89E-07,-0.0040201,,,,,,,
6.90E-07,-0.00361809,,,,,,,
6.91E-07,-0.00442211,,,,,,,
6.93E-07,-0.0040201,,,,,,,
6.94E-07,-0.0040201,,,,,,,
6.95E-07,-0.00482412,,,,,,,
6.96E-07,-0.00442211,,,,,,,
6.98E-07,-0.00281407,,,,,,,
6.99E-07,-0.00321608,,,,,,,
7.00E-07,-0.00482412,,,,,,,
7.01E-07,-0.0040201,,,,,,,
7.03E-07,-0.0040201,,,,,,,
7.04E-07,-0.00482412,,,,,,,
7.05E-07,-0.0040201,,,,,,,
7.06E-07,-0.00361809,,,,,,,
7.08E-07,-0.0040201,,,,,,,
7.09E-07,-0.0040201,,,,,,,
7.10E-07,-0.00442211,,,,,,,
7.11E-07,-0.00482412,,,,,,,
7.13E-07,-0.00482412,,,,,,,
7.14E-07,-0.00442211,,,,,,,
7.15E-07,-0.00361809,,,,,,,
7.16E-07,-0.00442211,,,,,,,
7.18E-07,-0.00522613,,,,,,,
7.19E-07,-0.00482412,,,,,,,
7.20E-07,-0.00442211,,,,,,,
7.21E-07,-0.00482412,,,,,,,
7.23E-07,-0.00522613,,,,,,,
7.24E-07,-0.00522613,,,,,,,
7.25E-07,-0.00522613,,,,,,,
7.26E-07,-0.00482412,,,,,,,
7.28E-07,-0.00482412,,,,,,,
7.29E-07,-0.00442211,,,,,,,
7.30E-07,-0.00482412,,,,,,,
7.31E-07,-0.00522613,,,,,,,
7.33E-07,-0.00522613,,,,,,,
